meal,parking,room_type,lead_time,market,repeated,canceled_book,price,special_requests,num of people,nights,output
Meal Plan 1,0,Room_Type 1,85,Online,0,0,90,0,2,7,Canceled
Meal Plan 1,0,Room_Type 4,11,Online,0,0,127,1,3,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,94,Online,0,0,90,0,2,2,Canceled
Not Selected,0,Room_Type 1,119,Online,0,0,85,0,2,7,Canceled
Meal Plan 1,0,Room_Type 2,130,Online,0,0,102,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,30,Online,0,0,88,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 5,0,Corporate,0,0,140,0,1,1,Not_Canceled
Not Selected,0,Room_Type 1,5,Online,0,0,120,2,2,3,Not_Canceled
Not Selected,0,Room_Type 1,2,Online,0,0,89,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,28,Online,0,0,101,0,2,4,Canceled
Not Selected,0,Room_Type 1,116,Online,0,0,75,0,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,216,Online,0,0,96,1,2,2,Canceled
Not Selected,0,Room_Type 1,82,Online,0,0,85,0,2,1,Canceled
Meal Plan 1,0,Room_Type 1,110,Online,0,0,80,0,1,3,Canceled
Meal Plan 1,0,Room_Type 1,12,Offline,0,0,87,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,9,Corporate,0,0,79,1,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,41,Corporate,0,0,85,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,71,Offline,0,0,95,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,37,Offline,0,0,105,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,164,Online,0,0,108,1,1,5,Canceled
Meal Plan 1,0,Room_Type 1,60,Online,0,0,75,0,2,4,Canceled
Meal Plan 1,0,Room_Type 4,126,Online,0,0,86,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,151,Offline,0,0,80,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,10,Online,0,0,103,2,1,2,Not_Canceled
Not Selected,0,Room_Type 1,1,Online,0,0,56,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,193,Online,0,0,93,1,2,3,Canceled
Meal Plan 1,0,Room_Type 1,131,Online,0,0,80,0,2,5,Canceled
Not Selected,0,Room_Type 1,83,Online,0,0,79,1,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 5,102,Online,0,0,150,1,3,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,3,Offline,0,0,58,0,2,5,Not_Canceled
Not Selected,0,Room_Type 1,5,Online,0,0,89,1,2,3,Canceled
Meal Plan 1,0,Room_Type 1,29,Online,0,0,105,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,11,Online,0,0,92,0,1,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,126,Online,0,0,90,1,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,164,Offline,0,0,100,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,33,Offline,0,0,63,0,2,5,Not_Canceled
Meal Plan 2,0,Room_Type 1,74,Offline,0,0,109,0,2,2,Not_Canceled
Not Selected,0,Room_Type 1,191,Online,0,0,71,0,2,1,Canceled
Meal Plan 1,0,Room_Type 1,81,Online,0,0,108,1,1,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,32,Offline,0,0,73,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,6,Corporate,0,0,79,0,1,1,Not_Canceled
Not Selected,0,Room_Type 1,54,Online,0,0,57,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,154,Online,0,0,100,0,1,2,Canceled
Meal Plan 1,0,Room_Type 4,23,Online,0,0,129,1,2,2,Not_Canceled
Not Selected,0,Room_Type 1,109,Online,0,0,68,0,2,6,Not_Canceled
Meal Plan 2,0,Room_Type 1,102,Online,0,0,80,0,1,2,Canceled
Meal Plan 1,0,Room_Type 1,97,Online,0,0,64,1,2,4,Not_Canceled
Meal Plan 2,0,Room_Type 1,102,Online,0,0,101,0,2,2,Canceled
Meal Plan 1,0,Room_Type 4,7,Online,0,0,150,1,1,1,Canceled
Meal Plan 1,0,Room_Type 1,103,Online,0,0,99,2,3,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,33,Online,0,0,97,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,127,Online,0,0,105,0,2,2,Canceled
Meal Plan 1,0,Room_Type 1,124,Online,0,0,105,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,85,Online,0,0,143,0,3,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,10,Online,0,0,107,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,29,Online,0,0,89,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,2,Online,0,0,102,0,1,1,Not_Canceled
Meal Plan 2,0,Room_Type 1,122,Offline,0,0,86,0,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,112,Offline,0,0,120,1,2,3,Not_Canceled
Not Selected,0,Room_Type 1,208,Online,0,0,80,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,40,Online,0,0,126,2,3,2,Not_Canceled
Not Selected,0,Room_Type 1,12,Online,0,0,142,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,76,Offline,0,0,64,0,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,113,Online,0,0,85,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,28,Online,0,0,141,1,2,1,Canceled
Not Selected,0,Room_Type 1,7,Online,0,0,103,1,1,2,Not_Canceled
Meal Plan 1,1,Room_Type 1,1,Online,0,0,124,1,1,2,Not_Canceled
Meal Plan 1,1,Room_Type 4,69,Online,0,0,140,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,190,Offline,0,0,95,0,1,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,3,Offline,0,0,70,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,1,Online,0,0,71,0,2,3,Not_Canceled
Meal Plan 1,1,Room_Type 1,0,Corporate,0,0,55,1,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,12,Online,0,0,109,0,3,1,Canceled
Meal Plan 1,0,Room_Type 4,64,Online,0,0,118,1,2,3,Canceled
Meal Plan 2,0,Room_Type 1,37,Online,0,0,143,2,2,4,Not_Canceled
Not Selected,0,Room_Type 1,11,Online,0,0,88,0,2,1,Not_Canceled
Not Selected,0,Room_Type 1,30,Online,0,0,76,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,56,Offline,0,0,120,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,91,Online,0,0,126,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,64,Online,0,0,138,0,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,103,Online,0,0,107,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,192,Offline,0,0,95,0,1,2,Not_Canceled
Not Selected,0,Room_Type 1,109,Online,0,0,81,0,2,4,Canceled
Not Selected,0,Room_Type 1,40,Online,0,0,88,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,17,Online,0,0,85,1,2,1,Not_Canceled
Not Selected,0,Room_Type 1,53,Online,0,0,89,2,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,43,Online,0,0,146,2,2,3,Not_Canceled
Not Selected,0,Room_Type 1,58,Online,0,0,116,0,2,3,Canceled
Meal Plan 1,1,Room_Type 1,76,Online,0,0,98,1,2,2,Not_Canceled
Meal Plan 1,1,Room_Type 1,188,Online,0,0,135,2,2,2,Canceled
Meal Plan 1,0,Room_Type 1,64,Corporate,0,0,130,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,21,Online,0,0,124,3,2,4,Not_Canceled
Meal Plan 2,0,Room_Type 1,24,Offline,0,0,117,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,113,Online,0,0,85,2,2,7,Not_Canceled
Meal Plan 1,0,Room_Type 1,13,Offline,0,0,84,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,88,Online,0,0,143,2,3,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,27,Offline,0,0,108,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,68,Online,0,0,135,0,3,6,Canceled
Not Selected,0,Room_Type 1,13,Online,0,0,87,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,1,Corporate,0,0,60,0,1,3,Canceled
Meal Plan 1,0,Room_Type 1,21,Online,0,0,101,0,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,8,Online,0,0,80,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,111,Online,0,0,82,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,8,Online,0,0,149,3,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,30,Online,0,0,135,1,2,4,Canceled
Meal Plan 1,0,Room_Type 4,184,Online,0,0,122,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,14,Online,0,0,124,1,1,1,Not_Canceled
Meal Plan 2,0,Room_Type 1,110,Online,0,0,94,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,106,Offline,0,0,80,1,2,3,Not_Canceled
Not Selected,0,Room_Type 1,98,Online,0,0,79,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,92,Online,0,0,100,0,2,3,Canceled
Meal Plan 1,0,Room_Type 2,47,Online,0,0,105,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 2,70,Offline,0,0,95,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,75,Online,0,0,80,0,2,4,Canceled
Meal Plan 1,0,Room_Type 1,14,Corporate,0,0,105,0,1,2,Canceled
Meal Plan 1,0,Room_Type 1,14,Corporate,0,0,105,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,130,Online,0,0,139,2,2,3,Canceled
Not Selected,0,Room_Type 1,75,Online,0,0,79,1,2,2,Not_Canceled
Not Selected,0,Room_Type 1,64,Online,0,0,65,2,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,59,Online,0,0,123,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,1,Corporate,0,0,84,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,29,Online,0,0,77,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,60,Online,0,0,105,3,3,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,29,Offline,0,0,90,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,49,Offline,0,0,75,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,41,Online,0,0,81,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,26,Online,0,0,147,0,1,3,Canceled
Meal Plan 1,0,Room_Type 4,32,Online,0,0,136,1,1,2,Not_Canceled
Not Selected,0,Room_Type 1,9,Online,0,0,62,1,2,8,Not_Canceled
Meal Plan 1,0,Room_Type 5,60,Offline,0,0,102,1,3,1,Not_Canceled
Not Selected,0,Room_Type 1,109,Online,0,0,108,0,2,1,Canceled
Meal Plan 1,0,Room_Type 1,12,Online,0,0,90,2,3,5,Not_Canceled
Not Selected,0,Room_Type 1,109,Online,0,0,76,1,2,4,Canceled
Not Selected,0,Room_Type 1,0,Online,0,0,90,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,37,Online,0,0,95,1,2,4,Canceled
Meal Plan 1,0,Room_Type 1,11,Offline,0,0,88,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,88,Online,0,0,136,1,1,4,Canceled
Meal Plan 1,0,Room_Type 1,12,Offline,0,0,85,0,2,3,Not_Canceled
Meal Plan 2,0,Room_Type 1,74,Offline,0,0,101,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,105,Online,0,0,82,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,101,Offline,0,0,61,0,2,4,Not_Canceled
Not Selected,0,Room_Type 1,35,Online,0,0,98,0,2,3,Canceled
Meal Plan 1,0,Room_Type 5,94,Online,0,0,138,0,4,3,Not_Canceled
Not Selected,0,Room_Type 1,38,Online,0,0,76,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,30,Online,0,0,94,2,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,221,Online,0,0,80,0,2,1,Canceled
Meal Plan 1,0,Room_Type 1,35,Corporate,0,0,89,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,26,Online,0,0,114,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,18,Online,0,0,91,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,27,Online,0,0,141,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,213,Online,0,0,130,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,13,Online,0,0,90,1,2,4,Not_Canceled
Meal Plan 2,0,Room_Type 1,88,Offline,0,0,112,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,125,Offline,0,0,68,1,2,3,Not_Canceled
Not Selected,0,Room_Type 1,3,Offline,0,0,75,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,140,Online,0,0,118,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,3,Online,0,0,67,0,2,1,Not_Canceled
Not Selected,0,Room_Type 1,98,Online,0,0,79,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,13,Offline,0,0,62,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,91,Online,0,0,118,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,34,Online,0,0,149,0,2,1,Canceled
Meal Plan 1,0,Room_Type 1,87,Offline,0,0,75,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,167,Online,0,0,137,0,3,2,Canceled
Meal Plan 2,0,Room_Type 1,219,Online,0,0,108,0,2,1,Canceled
Meal Plan 1,0,Room_Type 4,126,Online,0,0,111,1,2,6,Not_Canceled
Meal Plan 2,0,Room_Type 1,33,Online,0,0,127,0,3,3,Canceled
Meal Plan 1,0,Room_Type 1,45,Online,0,0,80,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,25,Online,0,0,96,2,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 4,68,Offline,0,0,60,0,2,3,Not_Canceled
Not Selected,0,Room_Type 1,24,Online,0,0,88,2,1,3,Not_Canceled
Not Selected,0,Room_Type 1,11,Online,0,0,122,0,2,3,Canceled
Meal Plan 1,0,Room_Type 4,116,Online,0,0,137,1,3,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,3,Online,0,0,72,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,103,Online,0,0,84,1,2,4,Not_Canceled
Not Selected,0,Room_Type 1,13,Online,0,0,140,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,54,Offline,0,0,85,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,0,Online,0,0,111,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,153,Online,0,0,108,1,2,4,Canceled
Meal Plan 1,0,Room_Type 4,56,Online,0,0,120,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,59,Online,0,0,85,0,1,1,Canceled
Meal Plan 1,0,Room_Type 1,14,Offline,0,0,100,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,23,Online,0,0,84,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,75,Online,0,0,115,2,3,4,Not_Canceled
Not Selected,0,Room_Type 1,11,Online,0,0,81,2,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,34,Online,0,0,117,1,2,3,Not_Canceled
Not Selected,0,Room_Type 1,19,Online,0,0,55,0,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,41,Offline,0,0,65,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,17,Offline,0,0,82,1,3,4,Not_Canceled
Not Selected,0,Room_Type 1,12,Online,0,0,131,3,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,54,Offline,0,0,81,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,191,Online,0,0,132,0,2,3,Canceled
Not Selected,0,Room_Type 1,53,Online,0,0,81,1,2,2,Not_Canceled
Not Selected,0,Room_Type 1,109,Online,0,0,89,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,37,Online,0,0,135,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,119,Online,0,0,112,0,3,1,Canceled
Meal Plan 1,0,Room_Type 4,46,Online,0,0,124,1,3,4,Canceled
Meal Plan 1,0,Room_Type 1,26,Online,0,0,121,2,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,37,Corporate,0,0,89,0,1,2,Canceled
Meal Plan 1,0,Room_Type 4,7,Online,0,0,138,0,2,6,Canceled
Not Selected,0,Room_Type 4,0,Online,0,0,129,0,2,1,Not_Canceled
Meal Plan 1,1,Room_Type 4,168,Online,0,0,132,3,2,1,Not_Canceled
Not Selected,1,Room_Type 1,11,Online,0,0,90,0,2,1,Not_Canceled
Meal Plan 2,0,Room_Type 1,107,Online,0,0,140,1,2,8,Not_Canceled
Meal Plan 2,0,Room_Type 1,219,Online,0,0,108,0,2,1,Canceled
Not Selected,0,Room_Type 1,54,Online,0,0,73,1,2,3,Canceled
Meal Plan 1,0,Room_Type 1,172,Offline,0,0,80,0,2,4,Not_Canceled
Not Selected,0,Room_Type 1,8,Online,0,0,81,0,2,2,Not_Canceled
Meal Plan 2,0,Room_Type 1,100,Online,0,0,108,0,2,1,Canceled
Meal Plan 1,0,Room_Type 1,95,Online,0,0,90,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,36,Online,0,0,82,1,2,3,Not_Canceled
Not Selected,0,Room_Type 1,2,Online,0,0,89,0,2,1,Canceled
Meal Plan 1,0,Room_Type 1,69,Online,0,0,92,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,140,Online,0,0,105,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,12,Online,0,0,112,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,14,Online,0,0,114,1,1,3,Not_Canceled
Not Selected,0,Room_Type 1,68,Online,0,0,116,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,3,Corporate,0,0,65,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,172,Online,0,0,125,0,3,3,Canceled
Meal Plan 1,0,Room_Type 1,159,Offline,0,0,82,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,16,Online,0,0,111,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,166,Online,0,0,110,0,1,3,Canceled
Meal Plan 1,0,Room_Type 1,36,Online,0,0,135,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,3,Offline,0,0,106,0,1,1,Not_Canceled
Not Selected,0,Room_Type 1,11,Online,0,0,79,0,2,5,Canceled
Meal Plan 1,1,Room_Type 1,22,Online,0,0,139,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,4,Online,0,0,128,2,2,2,Not_Canceled
Not Selected,0,Room_Type 1,84,Online,0,0,58,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,99,Corporate,0,0,81,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,97,Offline,0,0,82,0,2,7,Not_Canceled
Not Selected,0,Room_Type 1,1,Online,0,0,95,0,2,2,Canceled
Meal Plan 1,0,Room_Type 1,26,Online,0,0,111,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,221,Offline,0,0,65,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,52,Online,0,0,98,0,2,1,Canceled
Meal Plan 1,0,Room_Type 4,109,Online,0,0,88,1,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,157,Offline,0,0,68,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,33,Online,0,0,79,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,90,Online,0,0,70,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 4,61,Online,0,0,118,0,2,3,Canceled
Not Selected,0,Room_Type 1,52,Online,0,0,85,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,1,Online,0,0,60,0,1,3,Canceled
Not Selected,0,Room_Type 1,29,Online,0,0,103,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,2,Online,0,0,91,1,2,1,Not_Canceled
Not Selected,0,Room_Type 1,23,Online,0,0,119,1,2,2,Canceled
Meal Plan 1,0,Room_Type 1,39,Online,0,0,117,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,1,Online,0,0,142,2,3,1,Not_Canceled
Not Selected,0,Room_Type 1,20,Online,0,0,74,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,15,Online,0,0,116,0,2,4,Canceled
Not Selected,0,Room_Type 1,3,Online,0,0,89,0,2,1,Canceled
Not Selected,0,Room_Type 1,54,Online,0,0,79,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,44,Online,0,0,101,1,2,4,Not_Canceled
Not Selected,1,Room_Type 1,90,Offline,0,0,91,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 4,9,Online,0,0,141,0,1,4,Canceled
Meal Plan 1,0,Room_Type 1,69,Offline,0,0,76,0,3,2,Not_Canceled
Meal Plan 1,0,Room_Type 2,2,Online,0,0,77,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,14,Online,0,0,104,0,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 4,17,Online,0,0,118,1,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,169,Offline,0,0,76,0,1,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,194,Online,0,0,101,0,2,4,Canceled
Meal Plan 1,0,Room_Type 4,74,Online,0,0,114,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,221,Online,0,0,112,0,3,1,Canceled
Meal Plan 1,0,Room_Type 5,34,Offline,0,0,113,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,83,Online,0,0,132,2,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,4,Corporate,0,0,81,0,1,1,Not_Canceled
Meal Plan 2,0,Room_Type 1,150,Offline,0,0,101,0,2,3,Not_Canceled
Meal Plan 2,0,Room_Type 1,85,Offline,0,0,125,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,63,Online,0,0,92,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,81,Online,0,0,90,0,1,1,Canceled
Meal Plan 1,0,Room_Type 4,7,Online,0,0,116,2,2,6,Not_Canceled
Not Selected,0,Room_Type 1,161,Online,0,0,97,1,2,4,Canceled
Meal Plan 1,0,Room_Type 1,205,Online,0,0,76,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,131,Online,0,0,114,1,2,3,Canceled
Meal Plan 1,0,Room_Type 1,5,Corporate,0,0,110,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,133,Offline,0,0,84,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,72,Online,0,0,119,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,118,Online,0,0,90,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,37,Online,0,0,95,0,1,4,Not_Canceled
Meal Plan 1,0,Room_Type 4,11,Offline,0,0,73,2,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,48,Online,0,0,93,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,179,Online,0,0,90,1,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,23,Online,0,0,127,0,2,3,Canceled
Meal Plan 2,0,Room_Type 1,74,Offline,0,0,109,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,57,Offline,0,0,75,0,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,34,Online,0,0,66,1,2,2,Not_Canceled
Meal Plan 2,0,Room_Type 1,0,Offline,0,0,90,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,125,Online,0,0,132,2,1,1,Not_Canceled
Not Selected,0,Room_Type 1,12,Online,0,0,77,2,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,13,Online,0,0,80,1,2,5,Not_Canceled
Meal Plan 1,0,Room_Type 1,113,Online,0,0,76,1,2,1,Canceled
Meal Plan 1,0,Room_Type 1,118,Offline,0,0,110,0,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 4,38,Online,0,0,102,2,3,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,175,Online,0,0,83,2,2,4,Canceled
Meal Plan 1,0,Room_Type 1,26,Online,0,0,131,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,17,Corporate,0,0,80,0,2,2,Canceled
Meal Plan 2,0,Room_Type 1,102,Online,0,0,101,0,2,2,Canceled
Meal Plan 1,0,Room_Type 1,39,Online,0,0,134,0,3,4,Canceled
Meal Plan 1,0,Room_Type 1,27,Offline,0,0,120,0,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,112,Offline,0,0,100,0,2,2,Not_Canceled
Meal Plan 2,0,Room_Type 5,96,Online,0,0,138,0,2,2,Canceled
Meal Plan 1,0,Room_Type 1,54,Online,0,0,78,1,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,221,Offline,0,0,65,0,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,129,Offline,0,0,80,2,2,3,Not_Canceled
Not Selected,1,Room_Type 1,0,Online,0,0,118,1,2,3,Not_Canceled
Meal Plan 2,0,Room_Type 1,145,Offline,0,0,72,0,1,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,136,Online,0,0,90,0,1,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,12,Online,0,0,124,2,2,3,Not_Canceled
Meal Plan 2,0,Room_Type 1,184,Online,0,0,130,1,2,4,Canceled
Meal Plan 1,0,Room_Type 1,186,Offline,0,0,80,0,2,3,Not_Canceled
Not Selected,0,Room_Type 1,6,Offline,0,0,85,0,2,4,Not_Canceled
Not Selected,0,Room_Type 1,0,Online,0,0,81,2,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 4,45,Online,0,0,128,1,2,3,Not_Canceled
Meal Plan 1,0,Room_Type 1,15,Corporate,0,0,80,0,1,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,99,Corporate,0,0,81,0,1,1,Not_Canceled
Not Selected,0,Room_Type 1,120,Online,0,0,94,0,2,2,Not_Canceled
Meal Plan 1,0,Room_Type 1,80,Offline,0,0,93,1,3,2,Not_Canceled
Not Selected,0,Room_Type 1,146,Online,0,0,85,1,2,2,Canceled
Meal Plan 1,0,Room_Type 1,69,Online,0,0,120,0,1,6,Canceled
Not Selected,0,Room_Type 1,185,Online,0,0,79,0,2,3,Canceled
Not Selected,0,Room_Type 1,80,Online,0,0,73,0,2,10,Canceled
Meal Plan 1,0,Room_Type 4,34,Online,0,0,135,1,3,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,68,Online,0,0,92,0,2,3,Canceled
Meal Plan 1,0,Room_Type 1,107,Offline,0,0,80,0,2,4,Not_Canceled
Meal Plan 1,0,Room_Type 1,57,Online,0,0,59,1,2,6,Not_Canceled
Not Selected,0,Room_Type 1,67,Online,0,0,89,2,2,1,Not_Canceled
Meal Plan 1,0,Room_Type 1,0,Offline,0,0,95,0,2,2,Not_Canceled
Meal Plan 2,0,Room_Type 1,53,Offline,0,0,131,0,2,5,Not_Canceled
